nKids,energyChildrenThreshold,speed,pfSize,cause,t,age
0.6022966230837477,3.3677028290926025,5.874787280457303,7.538888834974338,breed,0,1
1.0711129408349072,2.489212539433685,1.161977956967695,4.845347697989681,breed,0,1
0.5509317118760879,7.923929072703069,5.28902006162154,7.908433125024775,breed,0,1
0.6181722522588838,5.302687975942248,3.101008519955035,8.626075161159754,breed,0,1
2.7792276280039903,8.188769223755804,1.1167920428742486,7.469767367337053,breed,0,1
1.3837399792400302,6.154829148815325,2.49695183088887,5.9467481867483425,breed,0,1
1.265858797007941,0.4329673645259158,3.033959055669197,8.748253595517326,breed,0,1
1.54177721333937,2.760121981521806,1.666936041878572,8.037622918620704,breed,0,1
3.762282765042306,7.044392672863308,2.7140804530869795,9.371200051918244,natural,0,0
1.878689259095183,4.7208434443558955,5.857033902276221,7.980335929689866,breed,0,1
0.1658152776714693,8.485767273728712,3.6638188562972642,5.74902890454481,breed,0,1
1.384634677270792,5.536139772422361,1.0913411956596004,9.945312380550801,breed,0,1
1.6656706335126756,6.5119624685523725,2.0940647440020452,4.059256232680681,breed,0,1
1.5524529497278774,3.264337976742826,2.5300090544162037,8.88495449997227,breed,0,1
0.4555855304790558,2.6021192561133786,5.276531074570047,4.877017473684931,breed,0,1
0.5638773835339106,5.897049869224546,2.296689059178239,5.059815739870696,breed,0,1
1.7398216496475478,9.306328371584064,5.808317706761179,8.113392692359046,breed,0,1
1.114977464963186,3.85382229441538,1.5737775853903126,6.0097939331236505,breed,0,1
1.3944081347587935,4.866318724084523,1.96986816315068,9.809637835191982,natural,0,0
10.378193389123911,0.555846086212779,5.386133913030268,5.1931623762553905,natural,0,0
0.305699028543991,9.867060601134662,5.1111175167670355,4.076754435663444,breed,0,1
0.393580343531454,8.100099919718872,4.766587830736605,6.962049814973024,breed,0,1
0.6594796504316706,8.855226752388166,4.736659596060711,9.410934324340229,breed,0,1
1.601820253005532,7.575219353581357,2.0008778146700923,8.169365521884686,breed,0,1
2.8467796918086274,2.5264804562886467,2.303331000972034,5.699591334738038,breed,0,1
0.639906784544951,8.980142437457676,4.778752382275312,5.334269924632565,breed,0,1
0.34590479711602407,7.979122432341677,2.7790740935644553,7.446632711986966,breed,0,1
0.20370476378748614,0.07250523286936206,5.997714842242443,5.44308451696462,breed,0,1
0.845513876480807,6.354922234865739,5.654187125236366,8.815266144937421,breed,0,1
2.3209271572055625,2.7024603719369056,3.3771412965160414,8.285290251400287,breed,0,1
0.45404391815817446,8.509234815405971,1.002614515996811,6.39372098636361,breed,0,1
2.4820682740950857,1.5064932355103855,3.6995311887110587,5.038054827963904,breed,0,1
2.2295512995077464,6.765653268237665,5.127678291095396,4.490378666113313,breed,0,1
2.1454899771070197,7.175712148831041,3.0721206132197296,9.893879535336499,natural,0,0
1.7809142827065998,9.752548836565378,3.861835730054039,7.780772504612733,breed,0,1
6.739090674075144,9.457816358093499,1.8342707413280208,7.823127883183481,natural,0,0
0.9636978774002555,1.4081275062722198,4.659015218424035,5.546646223460677,breed,0,1
1.5172729355702277,2.129616550842548,1.7169903607677641,4.79800233917128,breed,0,1
2.4928900046984355,0.26606308513331123,5.24688491993925,5.0839063626459255,breed,0,1
0.5943140890852161,3.3360434740596903,2.5812272385797703,4.748594323463632,breed,0,1
1.6628525572715591,4.25473497496053,2.8157859323233403,5.149287356876323,breed,0,1
1.2703863999348906,6.1900715616135935,5.9835236652291846,5.375771904138409,breed,0,1
1.4674228430010108,8.280109150995665,3.3362134018805127,7.9989499467715985,breed,0,1
2.314169412220431,2.4828768394173895,4.436087730643534,5.299953053011544,breed,0,1
9.408549767500174,6.258763750594199,3.389154258728934,4.919108701558997,natural,0,0
0.8095619388747951,1.2946063751565928,4.759160173160057,7.8544234688486325,breed,0,1
1.3097670743232035,0.01188781340038747,3.081725081733517,4.788979803989985,natural,0,0
0.17394833151648703,0.577399740155875,1.9633752867833008,6.6086551617097244,breed,0,1
1.259330000833525,2.693061496436928,5.511557533406055,4.646101698295174,breed,0,1
0.03952142126586877,5.738405244028715,5.331495373040933,9.244119323875461,breed,0,1
0.4709563522490321,8.502867624327799,2.991983704308149,7.598290735562017,breed,0,1
